"customerID","tenure","cancel","InternetService"
"3376-BMGFE",4,0,"Fiber optic"
"5997-OPVFA",72,1,"DSL"
"3445-HXXGF",58,0,"DSL"
"1159-WFSGR",16,1,"No"
"7654-YWJUF",43,1,"Fiber optic"
"1875-QIVME",2,0,"Fiber optic"
"6727-IOTLZ",14,1,"DSL"
"0691-JVSYA",53,0,"Fiber optic"
"5918-VUKWP",32,1,"No"
"1744-JHKYS",34,1,"No"
"2656-FMOKZ",15,0,"Fiber optic"
"2070-FNEXE",7,0,"Fiber optic"
"5947-SGKCL",15,1,"Fiber optic"
"3712-PKXZA",61,1,"No"
"6317-YPKDH",1,0,"DSL"
"6582-OIVSP",1,1,"DSL"
"9367-WXLCH",8,0,"Fiber optic"
"5524-KHNJP",33,1,"DSL"
"1918-ZBFQJ",13,0,"Fiber optic"
"1024-GUALD",1,0,"DSL"
"4827-USJHP",20,1,"DSL"
"8167-GJLRN",3,1,"DSL"
"0956-SYCWG",13,1,"No"
"8017-UVSZU",40,1,"DSL"
"7100-FQPRV",43,1,"DSL"
"2472-OVKUP",6,0,"Fiber optic"
"2984-RGEYA",69,1,"No"
"9680-NIAUV",72,1,"Fiber optic"
"2146-EGVDT",59,1,"No"
"2604-IJPDU",20,1,"Fiber optic"
"9178-JHUVJ",24,1,"No"
"6168-YBYNP",59,1,"Fiber optic"
"7255-SSFBC",72,1,"Fiber optic"
"3645-DEYGF",1,1,"No"
"9323-HGFWY",27,1,"Fiber optic"
"8544-GOQSH",14,1,"Fiber optic"
"3363-DTIVD",71,1,"Fiber optic"
"7018-WBJNK",13,1,"Fiber optic"
"9142-KZXOP",44,1,"Fiber optic"
"7674-YTAFD",33,1,"Fiber optic"
"6348-SNFUS",72,1,"DSL"
"1285-OKIPP",1,0,"Fiber optic"
"7825-ECJRF",19,0,"Fiber optic"
"1347-KTTTA",64,1,"Fiber optic"
"7841-TZDMQ",2,0,"DSL"
"4195-NZGTA",1,1,"DSL"
"7157-SMCFK",61,1,"No"
"4709-LKHYG",29,1,"No"
"2504-DSHIH",23,1,"Fiber optic"
"0699-NDKJM",57,1,"DSL"
"9286-BHDQG",72,1,"DSL"
"0230-WEQUW",66,1,"DSL"
"2040-LDIWQ",65,1,"DSL"
"6496-JDSSB",8,1,"Fiber optic"
"9408-SSNVZ",4,0,"Fiber optic"
"4443-EMBNA",71,1,"No"
"6469-MRVET",1,1,"No"
"0742-MOABM",4,0,"DSL"
"5961-VUSRV",12,1,"No"
"6778-JFCMK",24,1,"DSL"
"6341-JVQGF",31,1,"DSL"
"2232-DMLXU",1,0,"DSL"
"4811-JBUVU",30,1,"Fiber optic"
"0945-TSONX",47,1,"DSL"
"2651-ZCBXV",54,1,"Fiber optic"
"3316-UWXUY",50,1,"Fiber optic"
"8937-RDTHP",1,0,"Fiber optic"
"7083-MIOPC",72,1,"No"
"1984-GPTEH",29,1,"No"
"1251-KRREG",2,0,"DSL"
"0621-JFHOL",10,1,"DSL"
"9903-LYSAB",18,1,"Fiber optic"
"0094-OIFMO",11,0,"Fiber optic"
"9227-UAQFT",16,1,"No"
"7301-ABVAD",72,1,"DSL"
"6614-FHDBO",72,1,"Fiber optic"
"7576-ASEJU",41,1,"DSL"
"9058-HRZSV",65,1,"Fiber optic"
"4522-AKYLR",13,1,"DSL"
"0221-WMXNQ",4,1,"Fiber optic"
"0303-UNCIP",41,1,"DSL"
"9947-OTFQU",15,0,"Fiber optic"
"0322-YINQP",1,0,"DSL"
"0959-WHOKV",42,1,"Fiber optic"
"4075-JFPGR",51,1,"Fiber optic"
"4629-NRXKX",2,0,"Fiber optic"
"9514-JDSKI",1,0,"DSL"
"3282-ZISZV",32,1,"DSL"
"3675-YDUPJ",10,1,"No"
"4111-BNXIF",67,1,"DSL"
"7017-VFHAY",61,1,"Fiber optic"
"6655-LHBYW",50,1,"Fiber optic"
"4959-JOSRX",2,0,"DSL"
"5046-NUHWD",29,1,"DSL"
"7273-TEFQD",3,0,"DSL"
"3606-TWKGI",13,0,"Fiber optic"
"7529-ZDFXI",57,1,"Fiber optic"
"7605-BDWDC",31,1,"DSL"
"1950-KSVVJ",45,1,"Fiber optic"
"0123-CRBRT",61,1,"DSL"
"6292-TOSSS",50,1,"No"
"3197-ARFOY",19,1,"Fiber optic"
"6323-AYBRX",59,0,"No"
"7014-ZZXAW",71,1,"No"
"4385-GZQXV",16,0,"Fiber optic"
"7633-MVPUY",57,1,"DSL"
"6366-ZGQGL",1,0,"DSL"
"4716-HHKQH",20,1,"Fiber optic"
"5940-AHUHD",1,0,"Fiber optic"
"6432-TWQLB",5,0,"Fiber optic"
"4484-GLZOU",52,0,"Fiber optic"
"3179-GBRWV",21,1,"DSL"
"8645-KWHJO",14,1,"DSL"
"4130-MZLCC",5,1,"DSL"
"0314-TKOSI",6,1,"DSL"
"8229-MYEJZ",10,1,"DSL"
"2080-SRCDE",1,1,"No"
"9577-WJVCQ",68,1,"DSL"
"9512-UIBFX",18,0,"Fiber optic"
"6202-DYYFX",22,1,"Fiber optic"
"3808-HFKDE",20,1,"DSL"
"5583-SXDAG",1,0,"Fiber optic"
"3488-PGMQJ",8,0,"Fiber optic"
"3580-REOAC",10,0,"DSL"
"7534-BFESC",24,0,"Fiber optic"
"3727-OWVYD",35,1,"DSL"
"2294-SALNE",23,1,"Fiber optic"
"4847-TAJYI",6,1,"Fiber optic"
"1563-IWQEX",12,1,"No"
"8203-XJZRC",1,1,"No"
"6556-DBKZF",71,1,"Fiber optic"
"6851-WEFYX",35,1,"Fiber optic"
"2985-JUUBZ",40,1,"DSL"
"6390-DSAZX",1,0,"Fiber optic"
"0895-LMRSF",23,1,"DSL"
"8098-LLAZX",4,0,"Fiber optic"
"8266-VBFQL",4,1,"Fiber optic"
"8181-YHCMF",68,1,"DSL"
"2240-HSJQD",38,1,"Fiber optic"
"1248-DYXUB",52,1,"No"
"0265-EDXBD",32,0,"Fiber optic"
"4115-BNPJY",29,1,"DSL"
"3167-SNQPL",38,1,"Fiber optic"
"4091-TVOCN",48,1,"DSL"
"1098-TDVUQ",1,1,"No"
"7277-OZCGZ",22,1,"Fiber optic"
"1557-EMYVT",43,1,"Fiber optic"
"2799-ARNLO",5,1,"Fiber optic"
"7563-BIUPC",5,0,"Fiber optic"
"5027-YOCXN",51,1,"Fiber optic"
"3973-SKMLN",71,1,"No"
"2321-OMBXY",38,0,"DSL"
"2840-XANRC",24,0,"Fiber optic"
"6745-JEFZB",35,1,"Fiber optic"
"5020-ZSTTY",54,0,"DSL"
"9880-TDQAC",72,1,"DSL"
"8705-WZCYL",1,1,"DSL"
"7102-JJVTX",9,1,"DSL"
"8626-PTQGE",69,1,"DSL"
"4983-CLMLV",52,1,"Fiber optic"
"5701-YVSVF",11,1,"Fiber optic"
"5804-LEPIM",2,0,"Fiber optic"
"5697-GOMBF",28,1,"DSL"
"2739-CACDQ",17,1,"Fiber optic"
"9385-EHGDO",35,1,"No"
"9498-FIMXL",8,1,"No"
"2379-GYFLQ",46,1,"Fiber optic"
"0122-OAHPZ",7,0,"Fiber optic"
"2868-SNELZ",2,0,"Fiber optic"
"4322-RCYMT",68,0,"DSL"
"6680-NENYN",43,0,"Fiber optic"
"2088-IEBAU",68,1,"DSL"
"7982-VCELR",36,1,"Fiber optic"
"1343-EHPYB",63,0,"Fiber optic"
"6035-BXTTY",32,1,"DSL"
"6885-PKOAM",71,1,"DSL"
"7520-HQWJU",66,1,"DSL"
"9639-BUJXT",63,1,"No"
"5924-SNGKP",41,1,"No"
"0021-IKXGC",1,1,"Fiber optic"
"2034-GDRCN",2,0,"Fiber optic"
"8966-SNIZF",70,1,"No"
"6243-OZGFH",23,1,"DSL"
"4654-DLAMQ",64,1,"Fiber optic"
"0513-RBGPE",37,1,"DSL"
"5160-UXJED",17,1,"DSL"
"4115-NZRKS",7,1,"Fiber optic"
"0219-YTZUE",4,0,"Fiber optic"
"0623-IIHUG",21,0,"DSL"
"4572-DVCGN",10,0,"Fiber optic"
"3351-NGXYI",16,1,"DSL"
"8984-EYLLL",64,1,"Fiber optic"
"9057-MSWCO",27,0,"DSL"
"9833-TGFHX",42,1,"Fiber optic"
"9294-TDIPC",5,1,"No"
"5229-DTFYB",41,1,"Fiber optic"
"0104-PPXDV",58,1,"DSL"
"5176-LMJXE",47,1,"No"
"3583-KRKMD",18,1,"Fiber optic"
"1010-DIAUQ",5,0,"Fiber optic"
"9069-LGEUL",23,1,"DSL"
"7302-ZHMHP",1,1,"No"
"9571-EDEBV",71,1,"Fiber optic"
"3520-FJGCV",72,1,"Fiber optic"
"6563-VRERX",33,1,"No"
"0259-GBZSH",2,0,"Fiber optic"
"6122-EFVKN",24,1,"DSL"
"2805-EDJPQ",56,1,"Fiber optic"
"6862-CQUMB",37,1,"Fiber optic"
"7156-MXBJE",43,1,"DSL"
"6158-HDPXZ",1,1,"DSL"
"9601-BRXPO",25,0,"Fiber optic"
"2863-IMQDR",61,1,"DSL"
"5686-CMAWK",17,1,"Fiber optic"
"5651-CRHKQ",41,1,"Fiber optic"
"6905-NIQIN",1,0,"DSL"
"8204-YJCLA",72,1,"DSL"
"5167-ZFFMM",1,0,"Fiber optic"
"6583-SZVGP",48,1,"Fiber optic"
"4895-TMWIR",11,0,"No"
"0533-BNWKF",55,0,"Fiber optic"
"1708-PBBOA",42,1,"DSL"
"8782-LKFPK",44,1,"Fiber optic"
"5522-JBWMO",1,1,"DSL"
"3597-MVHJT",27,1,"Fiber optic"
"9774-NRNAU",27,1,"DSL"
"0224-RLWWD",2,1,"DSL"
"9967-ATRFS",19,1,"No"
"3951-NJCVI",42,1,"Fiber optic"
"2977-CEBSX",66,1,"DSL"
"0177-PXBAT",33,1,"Fiber optic"
"6599-CEBNN",34,0,"Fiber optic"
"2519-ERQOJ",33,1,"DSL"
"5876-QMYLD",23,1,"No"
"2277-AXSDC",32,1,"No"
"9442-JTWDL",11,1,"No"
"0979-PHULV",69,0,"Fiber optic"
"3067-SVMTC",68,1,"DSL"
"5495-GPSRW",20,1,"No"
"7606-BPHHN",72,1,"No"
"4742-DRORA",60,1,"Fiber optic"
"0111-KLBQG",32,1,"Fiber optic"
"4800-VHZKI",1,0,"No"
"7989-CHGTL",1,0,"No"
"0334-GDDSO",3,0,"Fiber optic"
"4163-NCJAK",46,1,"No"
"5233-AOZUF",29,1,"Fiber optic"
"5973-EJGDP",51,1,"Fiber optic"
"1996-DBMUS",48,1,"Fiber optic"
"7916-VCCPB",16,1,"Fiber optic"
"4686-GEFRM",70,1,"Fiber optic"
"5249-QYHEX",40,1,"No"
"0578-SKVMF",22,0,"Fiber optic"
"5564-NEMQO",1,0,"Fiber optic"
"2233-FAGXV",5,1,"No"
"5605-IYGFG",7,1,"Fiber optic"
"7663-ZTEGJ",29,1,"Fiber optic"
"3935-TBRZZ",44,1,"No"
"8111-BKVDS",10,1,"DSL"
"2055-SIFSS",55,1,"DSL"
"2806-MLNTI",52,1,"Fiber optic"
"8734-DKSTZ",10,1,"Fiber optic"
"4360-PNRQB",18,1,"Fiber optic"
"6152-ONASV",68,1,"DSL"
"9063-ZGTUY",61,0,"No"
"7781-HVGMK",72,1,"DSL"
"2181-UAESM",2,1,"DSL"
"2957-LOLHO",12,0,"DSL"
"6048-NJXHX",41,1,"No"
"2320-SLKMB",26,1,"DSL"
"4980-URKXC",36,1,"No"
"4376-KFVRS",72,1,"Fiber optic"
"5886-VLQVU",35,1,"Fiber optic"
"3577-AMVUX",1,1,"DSL"
"0771-WLCLA",16,1,"Fiber optic"
"5628-RKIFK",49,1,"Fiber optic"
"0206-TBWLC",54,1,"Fiber optic"
"2937-FTHUR",18,1,"DSL"
"1910-FMXJM",36,1,"Fiber optic"
"7752-XUSCI",60,0,"Fiber optic"
"4110-PFEUZ",1,0,"Fiber optic"
"0732-OCQOC",52,1,"No"
"5168-MSWXT",8,1,"Fiber optic"
"1090-ESELR",72,1,"Fiber optic"
"8592-PLTMQ",64,1,"No"
"5760-WRAHC",22,1,"DSL"
"8847-GEOOQ",60,1,"DSL"
"0256-LTHVJ",28,0,"Fiber optic"
"4785-FCIFB",61,1,"No"
"8313-NDOIA",24,1,"Fiber optic"
"5149-CUZUJ",28,1,"Fiber optic"
"0942-KOWSM",30,1,"DSL"
"4237-CLSMM",2,1,"No"
"1452-VOQCH",1,1,"Fiber optic"
"4719-UMSIY",6,1,"No"
"6614-VBEGU",24,1,"DSL"
"0880-TKATG",4,0,"Fiber optic"
"3811-VBYBZ",7,0,"Fiber optic"
"1480-BKXGA",72,1,"Fiber optic"
"2996-XAUVF",70,1,"DSL"
"9076-AXYIK",64,1,"Fiber optic"
"5968-XQIVE",72,1,"Fiber optic"
"8896-RAZCR",44,1,"No"
"4640-UHDOS",13,0,"DSL"
"4933-IKULF",17,1,"No"
"3583-EKAPL",1,0,"DSL"
"1304-BCCFO",9,1,"DSL"
"4104-PVRPS",24,1,"DSL"
"9399-APLBT",1,0,"Fiber optic"
"2359-KMGLI",24,0,"Fiber optic"
"3780-DDGSE",35,1,"DSL"
"4431-EDMIQ",7,1,"DSL"
"0306-JAELE",5,0,"Fiber optic"
"6227-HWPWX",15,0,"Fiber optic"
"0486-LGCCH",11,1,"No"
"0447-BEMNG",48,0,"DSL"
"4612-SSVHJ",20,1,"Fiber optic"
"5168-MQQCA",72,1,"Fiber optic"
"5949-XIKAE",8,0,"Fiber optic"
"7971-HLVXI",72,1,"Fiber optic"
"9094-AZPHK",15,1,"Fiber optic"
"3649-JPUGY",72,1,"DSL"
"8372-JUXUI",1,0,"Fiber optic"
"3552-CTCYF",63,1,"Fiber optic"
"6778-YSNIH",2,1,"DSL"
"0388-EOPEX",2,0,"Fiber optic"
"5756-OZRIO",61,1,"DSL"
"6579-JPICP",1,1,"No"
"8205-OTCHB",22,0,"DSL"
"4134-BSXLX",28,1,"DSL"
"0505-SPOOW",70,1,"No"
"6235-VDHOM",5,0,"DSL"
"7783-YKGDV",12,0,"Fiber optic"
"4374-YMUSQ",34,1,"Fiber optic"
"4513-CXYIX",71,1,"Fiber optic"
"3957-HHLMR",70,1,"DSL"
"7803-XOCCZ",52,1,"Fiber optic"
"5736-YEJAX",69,1,"DSL"
"5609-CEBID",20,0,"Fiber optic"
"8981-FJGLA",11,1,"Fiber optic"
"7218-HKQFK",2,0,"Fiber optic"
"4636-QRJKY",6,0,"Fiber optic"
"1135-LMECX",1,1,"No"
"4332-MUOEZ",20,1,"Fiber optic"
"8535-SFUTN",61,1,"Fiber optic"
"5956-VKDTT",5,0,"Fiber optic"
"8677-HDZEE",56,1,"Fiber optic"
"2475-MROZF",30,1,"Fiber optic"
"9412-GHEEC",40,0,"Fiber optic"
"3482-ABPKK",28,1,"DSL"
"6705-LXORM",5,1,"Fiber optic"
"0257-ZESQC",27,0,"Fiber optic"
"7531-GQHME",12,1,"No"
"5174-ITUMV",67,1,"Fiber optic"
"4109-CYRBD",29,1,"DSL"
"0913-XWSCN",55,1,"Fiber optic"
"6825-UYPFK",23,0,"Fiber optic"
"8397-MVTAZ",34,0,"Fiber optic"
"0750-EBAIU",52,1,"Fiber optic"
"8606-CIQUL",72,1,"Fiber optic"
"3571-DPYUH",58,1,"Fiber optic"
"7601-GNDYK",35,1,"No"
"0356-OBMAC",56,1,"Fiber optic"
"8067-NIOYM",24,1,"No"
"1403-GYAFU",70,1,"No"
"4234-XTNEA",2,1,"Fiber optic"
"1297-VQDRP",68,1,"Fiber optic"
"9282-IZGQK",1,0,"Fiber optic"
"5348-CAGXB",12,1,"Fiber optic"
"0621-HJWXJ",63,1,"Fiber optic"
"5844-QVTAT",33,1,"DSL"
"8905-IAZPF",69,1,"Fiber optic"
"5394-MEITZ",60,1,"DSL"
"6859-QNXIQ",72,1,"Fiber optic"
"2782-LFZVW",11,1,"DSL"
"2866-IKBTM",1,1,"No"
"1342-JPNKI",10,0,"Fiber optic"
"2817-NTQDO",13,0,"DSL"
"7129-AZJDE",34,1,"Fiber optic"
"6986-IJDHX",39,0,"Fiber optic"
"2560-PPCHE",65,1,"Fiber optic"
"4676-MQUEA",50,1,"Fiber optic"
"8138-EALND",15,1,"No"
"3580-HYCSP",72,1,"Fiber optic"
"1352-HNSAW",72,1,"Fiber optic"
"2075-PUEPR",55,1,"No"
"1982-FEBTD",23,1,"No"
"5301-GAUUY",32,0,"Fiber optic"
"5791-KAJFD",56,1,"DSL"
"2654-VBVPB",1,1,"No"
"1154-HYWWO",38,1,"DSL"
"2501-XWWTZ",11,1,"Fiber optic"
"3716-UVSPD",1,1,"DSL"
"6815-ABQFQ",56,1,"Fiber optic"
"7343-EOBEU",3,1,"No"
"3701-SFMUH",7,1,"DSL"
"6103-LIANB",59,1,"Fiber optic"
"7319-VENRZ",7,1,"DSL"
"5846-NEQVZ",71,1,"DSL"
"6967-QIQRV",15,1,"Fiber optic"
"5781-RFZRP",71,1,"DSL"
"0939-YAPAF",35,0,"Fiber optic"
"0308-IVGOK",11,1,"DSL"
"7293-LSCDV",60,1,"No"
"7025-WCBNE",47,1,"DSL"
"5756-JYOJT",11,1,"DSL"
"4710-FDUIZ",56,0,"Fiber optic"
"6030-REHUX",28,1,"Fiber optic"
"9548-LIGTA",61,1,"DSL"
"5150-LJNSR",31,1,"Fiber optic"
"8270-RKSAP",9,1,"Fiber optic"
"6522-YRBXD",35,1,"Fiber optic"
"2640-LYMOV",2,1,"No"
"1218-VKFPE",12,0,"No"
"3627-FHKBK",1,0,"Fiber optic"
"2865-TCHJW",4,0,"Fiber optic"
"1423-BMPBQ",1,1,"No"
"2393-DIVAI",3,1,"No"
"5192-EBGOV",1,0,"Fiber optic"
"4568-KNYWR",52,1,"DSL"
"8752-IMQOS",5,1,"No"
"0742-LAFQK",72,1,"Fiber optic"
"0795-LAFGP",71,1,"DSL"
"0619-OLYUR",72,1,"Fiber optic"
"5512-IDZEI",46,1,"No"
"0459-SPZHJ",63,1,"DSL"
"0215-BQKGS",30,1,"Fiber optic"
"9244-ZVAPM",1,1,"DSL"
"0719-SYFRB",12,0,"DSL"
"8208-EUMTE",16,1,"DSL"
"5172-MIGPM",4,1,"DSL"
"1710-RCXUS",51,1,"Fiber optic"
"0374-FIUCA",65,1,"No"
"5839-SUYVZ",16,1,"Fiber optic"
"5173-ZXXXL",2,1,"No"
"1096-ADRUX",66,1,"Fiber optic"
"2001-MCUUW",46,1,"Fiber optic"
"2731-GJRDG",32,1,"Fiber optic"
"4723-BEGSG",72,1,"DSL"
"6516-NKQBO",38,1,"DSL"
"8672-OAUPW",51,1,"DSL"
"8207-DMRVL",72,1,"Fiber optic"
"3419-SNJJD",65,0,"Fiber optic"
"6543-CPZMK",9,0,"DSL"
"4765-OXPPD",9,0,"DSL"
"2804-ETQDK",66,1,"No"
"6689-VRRTK",44,1,"Fiber optic"
"7138-GIRSH",50,1,"DSL"
"9396-ZSFLL",15,1,"DSL"
"6464-KEXXH",8,1,"DSL"
"7134-MJPDY",66,1,"Fiber optic"
"5240-CAOYT",57,1,"Fiber optic"
"4059-IIEBK",7,1,"Fiber optic"
"4881-JVQOD",10,1,"DSL"
"0516-UXRMT",62,1,"Fiber optic"
"4851-BQDNX",40,1,"Fiber optic"
"5148-HKFIR",20,1,"No"
"1009-IRMNA",7,0,"No"
"3003-CMDUU",25,1,"Fiber optic"
"5016-IBERQ",23,1,"Fiber optic"
"6797-UCJHZ",66,1,"Fiber optic"
"2469-DTSGX",72,1,"Fiber optic"
"4554-YGZIH",49,0,"Fiber optic"
"5099-BAILX",43,0,"Fiber optic"
"9931-KGHOA",46,1,"DSL"
"1775-KWJKQ",72,1,"DSL"
"7665-VIGUD",10,1,"No"
"9411-TPQQV",40,1,"DSL"
"7207-RMRDB",65,0,"Fiber optic"
"7954-MLBUN",31,1,"Fiber optic"
"2077-DDHJK",68,1,"DSL"
"4913-EHYUI",56,0,"Fiber optic"
"0195-IESCP",10,0,"Fiber optic"
"9574-BOSMD",68,1,"No"
"4580-TMHJU",43,0,"DSL"
"0970-ETWGE",1,0,"Fiber optic"
"4908-XAXAY",49,1,"Fiber optic"
"8404-VLQFB",15,1,"No"
"1626-ERCMM",20,0,"Fiber optic"
"0887-HJGAR",1,0,"DSL"
"2391-IPLOP",50,1,"DSL"
"5644-PDMZC",2,0,"Fiber optic"
"3509-GWQGF",24,1,"Fiber optic"
"9576-ANLXO",3,0,"Fiber optic"
"2024-BASKD",1,0,"Fiber optic"
"5845-BZZIB",35,1,"No"
"1140-UKVZG",17,1,"No"
"4160-AMJTL",8,0,"No"
"5183-SNMJQ",10,1,"Fiber optic"
"8100-PNJMH",68,1,"DSL"
"7838-LAZFO",45,1,"DSL"
"4464-JCOLN",2,0,"No"
"2085-JVGAD",37,1,"No"
"5650-VDUDS",4,0,"DSL"
"8095-WANWK",10,1,"DSL"
"3030-ZKIWL",1,1,"No"
